[I]18:41:08.568 ================================================================================
[I]18:41:08.578                                    SGFDebuger                                   
[I]18:41:08.579 --------------------------------------------------------------------------------
[I]18:41:08.579 Time:	18:41:08.567 
[I]18:41:08.579 Path:	F:\Project\gad\Recording\Snaker2\Server\Apps\/ServerLog/
[I]18:41:08.579 ================================================================================
[I]19:30:03.201 > OnlineManager::OnLoginReq() session:30, index:1, name:adfad
[I]19:30:03.202 > NetManager::Send() index:1, cmd:2
[I]19:30:03.844 > NetManager::Send() index:2, cmd:4
[I]19:32:02.417 > OnlineManager::OnLoginReq() session:31, index:1, name:aaa
[I]19:32:02.419 > NetManager::Send() index:1, cmd:2
[I]19:32:05.109 > NetManager::Send() index:2, cmd:4
[I]19:32:10.116 > NetManager::Send() index:3, cmd:4
[I]19:32:15.121 > NetManager::Send() index:4, cmd:4
[I]19:32:20.123 > NetManager::Send() index:5, cmd:4
[I]19:32:25.129 > NetManager::Send() index:6, cmd:4
[I]19:32:30.137 > NetManager::Send() index:7, cmd:4
[I]19:32:35.139 > NetManager::Send() index:8, cmd:4
[I]19:32:40.144 > NetManager::Send() index:9, cmd:4
[I]19:33:39.295 > OnlineManager::OnLoginReq() session:32, index:1, name:adfa
[I]19:33:39.296 > NetManager::Send() index:1, cmd:2
[I]19:33:42.283 > NetManager::Send() index:2, cmd:4
[I]19:33:53.655 > OnlineManager::OnLoginReq() session:33, index:1, name:sdfa
[I]19:33:53.656 > NetManager::Send() index:1, cmd:2
[I]19:33:56.510 > NetManager::Send() index:2, cmd:4
[I]19:34:19.809 > OnlineManager::OnLoginReq() session:34, index:1, name:adsfa
[I]19:34:19.811 > NetManager::Send() index:1, cmd:2
[I]19:34:22.845 > NetManager::Send() index:2, cmd:4
[I]20:02:15.129 > OnlineManager::OnLoginReq() session:35, index:1, name:af
[I]20:02:15.132 > NetManager::Send() index:1, cmd:2
[I]20:02:17.115 > NetManager::Send() index:2, cmd:4
[I]20:03:21.743 > OnlineManager::OnLoginReq() session:36, index:1, name:aaa
[I]20:03:21.744 > NetManager::Send() index:1, cmd:2
[I]20:05:29.996 > OnlineManager::OnLoginReq() session:37, index:1, name:adfsafsa
[I]20:05:29.997 > NetManager::Send() index:1, cmd:2
[I]20:05:32.830 > NetManager::Send() index:2, cmd:4
[I]20:05:37.834 > NetManager::Send() index:3, cmd:4
[I]20:05:42.839 > NetManager::Send() index:4, cmd:4
[I]20:07:09.425 > OnlineManager::OnLoginReq() session:38, index:1, name:adfas
[I]20:07:09.425 > NetManager::Send() index:1, cmd:2
[I]20:07:12.330 > NetManager::Send() index:2, cmd:4
[I]20:08:59.270 > OnlineManager::OnLoginReq() session:39, index:1, name:aaa
[I]20:08:59.271 > NetManager::Send() index:1, cmd:2
[I]20:09:56.172 > OnlineManager::OnLoginReq() session:40, index:1, name:adfsa
[I]20:09:56.173 > NetManager::Send() index:1, cmd:2
[I]20:10:47.967 > OnlineManager::OnLoginReq() session:41, index:1, name:adfsa
[I]20:10:47.968 > NetManager::Send() index:1, cmd:2
